(11, 2, -8, 1, -6)
(-2, -8, 11, -4, 3)
(-2, -9, 7, -5, 9)
(6, 9, -4, -8, -3)
(-8, 6, -7, 2, 7)
(6, -7, 11, -8, -2)
(7, -7, -5, -4, 9)
(6, -6, -4, 7, -3)
(-12, 1, 11, 7, -7)
(6, -12, 9, 2, -5)
(-7, 11, 3, -2, -5)
(-12, 2, 7, 6, -3)
(-5, 11, 9, -8, -7)
(9, -7, -6, -2, 6)
(-4, -9, 6, -2, 9)
(11, 9, -7, -9, -4)
(-6, -5, 6, 3, 2)
(-2, -6, 11, -9, 6)
(7, 6, -9, -7, 3)
(7, -7, 1, -4, 3)
(-3, -2, -12, 6, 11)
(11, 1, -3, 3, -12)
(-5, -6, 11, 7, -7)
(-7, 3, -8, 11, 1)
(6, 3, 9, -12, -6)
(-3, -5, 1, -2, 9)
(1, -5, -2, 9, -3)
(7, 3, -12, -7, 9)
(6, -5, -8, -4, 11)
(6, 1, -4, -5, 2)
(3, -3, -5, 9, -4)
(7, -2, -5, 3, -3)
(-8, 1, 9, 3, -5)
(-7, 3, 11, -9, 2)
(-4, 7, -6, 11, -8)
(1, -3, -5, 9, -2)
(1, 2, 11, -12, -2)
(9, 2, -5, -12, 6)
(-9, -5, -3, 6, 11)
(-5, -12, 11, 9, -3)
(-3, 7, 2, -7, 1)
(-5, 9, 3, -8, 1)
(-4, -6, 1, 3, 6)
(11, -12, -5, -3, 9)
(-8, -9, 2, 9, 6)
(-2, 3, -3, -9, 11)
(2, 1, -4, -8, 9)
(-12, 11, -7, 6, 2)
(2, -2, -3, 11, -8)
(6, 2, -8, -7, 7)
(2, -4, 3, 11, -12)
(6, -4, 11, -6, -7)
(7, -3, 3, 2, -9)
(-7, -2, -3, 1, 11)
(-9, 3, 7, -7, 6)
(-6, -3, 2, 9, -2)
(6, -2, -6, 9, -7)
(7, 11, -7, -3, -8)
(-3, 6, -8, 11, -6)
(-4, 3, -9, 1, 9)
(2, 6, -12, -3, 7)
(-4, 3, 6, 1, -6)
(2, -2, 7, 1, -8)
(2, -12, 3, 1, 6)
(11, -12, 6, -8, 3)
(-9, 2, -7, 3, 11)
(6, -8, 7, -2, -3)
(-6, 1, -8, 11, 2)
(2, -3, -7, 1, 7)
(3, -9, -7, 2, 11)
(1, 3, 7, -3, -8)
(7, 3, -3, -2, -5)
(1, -5, -7, 2, 9)
(-8, 2, 1, 9, -4)
(-5, -9, 1, 2, 11)
(2, 1, -2, 11, -12)
(1, 9, -7, -5, 2)
(2, -12, -7, 6, 11)
(-2, -3, -5, 7, 3)
(3, -2, -7, 11, -5)
(7, -3, -5, 3, -2)
(-8, -7, 11, 1, 3)
(-7, -3, 11, 3, -4)
(9, -3, 2, -2, -6)
(-9, 11, -7, -4, 9)
(-4, 9, 2, -5, -2)
(2, 7, -5, 3, -7)
(-3, -6, -4, 2, 11)
(-5, 9, 2, 3, -9)
(9, 3, -8, -5, 1)
(-9, -12, 7, 11, 3)
(2, 3, -9, -7, 11)
(6, -9, 7, 1, -5)
(3, -12, 6, 1, 2)
(-8, -5, 9, 6, -2)
(9, 11, -3, -12, -5)
(7, 6, 3, -4, -12)
(2, 9, 6, -12, -5)
(7, 2, -6, 1, -4)
(2, 11, -4, -2, -7)
(-6, -4, 11, -2, 1)
(-8, -3, 2, -2, 11)
(7, -5, -12, 1, 9)
(2, -9, -6, 7, 6)
(-7, 3, 1, 6, -3)
(7, -9, -5, 1, 6)
(-6, 2, -2, 9, -3)
(9, -7, 1, -9, 6)
(-9, 11, -4, -5, 7)
(6, -4, -7, 3, 2)
(-9, -4, 7, -5, 11)
(-3, -5, 9, -4, 3)
(11, 7, -9, -7, -2)
(7, -8, 2, 1, -2)
(-3, 6, 7, -4, -6)
(11, 6, -2, -8, -7)
(-2, 6, 7, -4, -7)
(11, -3, -2, -8, 2)
(-7, 3, 6, 7, -9)
(-5, 9, 2, -4, -2)
(-12, 1, -9, 9, 11)
(-2, -3, 1, 9, -5)
(-5, -9, 11, -4, 7)
(-5, -12, 9, -3, 11)
(-3, 2, 11, -8, -2)
(-7, -5, 6, -3, 9)
(11, -2, 6, -8, -7)
(6, 3, -6, -12, 9)
(7, 1, -9, -8, 9)
(6, -6, -2, -7, 9)
(6, -2, 11, -6, -9)
(-5, 7, -9, 6, 1)
(11, 1, 2, -5, -9)
(2, -3, 7, -4, -2)
(7, -2, 1, -9, 3)
(11, -9, 9, -6, -5)

Total Sets:  136
